Algorithm name,# Iterations,Horizon,Instance,Accumulated reward ,# rollouts,Planning runtime,total runtime,# Sensors,# Robots,p ,B (Max New Faults)
uct,1500,2,5,-26.00000000000001,50,18,811,3,3,0.3,1
uct,1500,2,6,-29.300000000000008,50,20,864,3,3,0.3,1
uct,1500,2,7,-19.8,50,20,709,3,3,0.3,1
uct,1500,2,8,-32.9,50,18,861,3,3,0.3,1
uct,1500,2,9,-27.400000000000006,50,20,809,3,3,0.3,1
uct,1500,2,10,-19.9,50,20,830,3,3,0.3,1
uct,1500,2,1,-47.100000000000016,50,9,343,4,1,0.3,1
uct,1500,2,2,-48.10000000000002,50,9,337,4,1,0.3,1
uct,1500,2,3,-60.300000000000026,50,9,334,4,1,0.3,1
uct,1500,2,4,-52.300000000000026,50,9,338,4,1,0.3,1
uct,1500,2,5,-49.000000000000014,50,8,338,4,1,0.3,1
uct,1500,2,6,-53.40000000000002,50,9,352,4,1,0.3,1
uct,1500,2,7,-46.10000000000002,50,8,333,4,1,0.3,1
uct,1500,2,8,-53.200000000000024,50,8,336,4,1,0.3,1
uct,1500,2,9,-48.30000000000002,50,9,351,4,1,0.3,1
uct,1500,2,10,-46.000000000000014,50,9,330,4,1,0.3,1
uct,1500,2,1,-30.000000000000014,50,14,519,4,2,0.3,1
uct,1500,2,2,-40.80000000000002,50,14,615,4,2,0.3,1
uct,1500,2,3,-35.20000000000002,50,12,628,4,2,0.3,1
uct,1500,2,4,-39.00000000000002,50,15,590,4,2,0.3,1
uct,1500,2,5,-32.600000000000016,50,15,578,4,2,0.3,1
uct,1500,2,6,-36.30000000000002,50,13,596,4,2,0.3,1
uct,1500,2,7,-38.800000000000026,50,13,598,4,2,0.3,1
uct,1500,2,8,-31.900000000000016,50,12,543,4,2,0.3,1
uct,1500,2,9,-30.799999999999997,50,13,503,4,2,0.3,1
uct,1500,2,10,-35.50000000000002,50,13,581,4,2,0.3,1
uct,1500,2,1,-31.10000000000002,50,38,1880,4,3,0.3,1
uct,1500,2,2,-41.200000000000024,50,43,1690,4,3,0.3,1
uct,1500,2,3,-26.200000000000014,50,40,1396,4,3,0.3,1
uct,1500,2,4,-29.100000000000005,50,38,1845,4,3,0.3,1
uct,1500,2,5,-51.50000000000003,50,39,1706,4,3,0.3,1
uct,1500,2,6,-35.10000000000001,50,36,1810,4,3,0.3,1
uct,1500,2,7,-34.300000000000004,50,36,1715,4,3,0.3,1
uct,1500,2,8,-27.500000000000014,50,38,1594,4,3,0.3,1
uct,1500,2,9,-36.20000000000002,50,39,1747,4,3,0.3,1
uct,1500,2,10,-39.500000000000014,50,39,1705,4,3,0.3,1
uct,1500,2,1,-29.100000000000016,50,355,14794,4,4,0.3,1
uct,1500,2,2,-32.7,50,311,14200,4,4,0.3,1
uct,1500,2,3,-29.100000000000012,50,336,13887,4,4,0.3,1
uct,1500,2,4,-25.600000000000005,50,312,14039,4,4,0.3,1
uct,1500,2,5,-36.20000000000001,50,315,15026,4,4,0.3,1
uct,1500,2,6,-36.7,50,320,14609,4,4,0.3,1
uct,1500,2,7,-24.1,50,397,14492,4,4,0.3,1
uct,1500,2,8,-31.10000000000001,50,459,14647,4,4,0.3,1
uct,1500,2,9,-27.200000000000003,50,342,11965,4,4,0.3,1
uct,1500,2,10,-34.90000000000001,50,391,15974,4,4,0.3,1
uct,2000,2,1,-5.0,50,9,152,1,1,0.3,1
uct,2000,2,2,-5.0,50,9,174,1,1,0.3,1
uct,2000,2,3,-5.0,50,11,232,1,1,0.3,1
uct,2000,2,4,-5.0,50,10,156,1,1,0.3,1
uct,2000,2,5,-5.0,50,8,157,1,1,0.3,1
uct,2000,2,6,-5.0,50,9,154,1,1,0.3,1
uct,2000,2,7,-5.0,50,9,148,1,1,0.3,1
uct,2000,2,8,-5.0,50,10,155,1,1,0.3,1
uct,2000,2,9,-5.0,50,8,156,1,1,0.3,1
uct,2000,2,10,-5.0,50,8,151,1,1,0.3,1
uct,2000,2,1,-26.80000000000001,50,13,368,2,1,0.3,1
uct,2000,2,2,-26.80000000000001,50,9,361,2,1,0.3,1
uct,2000,2,3,-26.80000000000001,50,11,364,2,1,0.3,1
uct,2000,2,4,-26.80000000000001,50,10,361,2,1,0.3,1
uct,2000,2,5,-26.80000000000001,50,10,363,2,1,0.3,1
uct,2000,2,6,-26.80000000000001,50,9,360,2,1,0.3,1
uct,2000,2,7,-26.80000000000001,50,9,364,2,1,0.3,1
uct,2000,2,8,-26.80000000000001,50,15,374,2,1,0.3,1
uct,2000,2,9,-26.80000000000001,50,10,364,2,1,0.3,1
uct,2000,2,10,-26.80000000000001,50,10,363,2,1,0.3,1
uct,2000,2,1,-15.0,50,12,502,2,2,0.3,1
uct,2000,2,2,-15.0,50,15,478,2,2,0.3,1
uct,2000,2,3,-15.0,50,12,461,2,2,0.3,1
uct,2000,2,4,-15.0,50,13,467,2,2,0.3,1
uct,2000,2,5,-15.0,50,12,462,2,2,0.3,1
uct,2000,2,6,-15.0,50,10,459,2,2,0.3,1
uct,2000,2,7,-15.0,50,12,463,2,2,0.3,1
uct,2000,2,8,-15.0,50,12,468,2,2,0.3,1
uct,2000,2,9,-15.0,50,15,467,2,2,0.3,1
uct,2000,2,10,-15.0,50,12,467,2,2,0.3,1
uct,2000,2,1,-37.20000000000002,50,10,422,3,1,0.3,1
uct,2000,2,2,-30.90000000000001,50,10,393,3,1,0.3,1
uct,2000,2,3,-36.100000000000016,50,9,489,3,1,0.3,1
uct,2000,2,4,-37.20000000000002,50,11,417,3,1,0.3,1
uct,2000,2,5,-37.20000000000002,50,10,424,3,1,0.3,1
uct,2000,2,6,-40.30000000000002,50,10,418,3,1,0.3,1
uct,2000,2,7,-41.20000000000002,50,9,416,3,1,0.3,1
uct,2000,2,8,-34.20000000000002,50,9,432,3,1,0.3,1
uct,2000,2,9,-37.20000000000002,50,11,419,3,1,0.3,1
uct,2000,2,10,-40.000000000000014,50,10,377,3,1,0.3,1
uct,2000,2,1,-20.3,50,13,497,3,2,0.3,1
uct,2000,2,2,-21.700000000000003,50,12,556,3,2,0.3,1
uct,2000,2,3,-21.700000000000003,50,13,565,3,2,0.3,1
uct,2000,2,4,-19.5,50,14,578,3,2,0.3,1
uct,2000,2,5,-19.599999999999998,50,16,542,3,2,0.3,1
uct,2000,2,6,-23.900000000000006,50,12,571,3,2,0.3,1
uct,2000,2,7,-20.400000000000002,50,14,525,3,2,0.3,1
uct,2000,2,8,-17.299999999999997,50,13,474,3,2,0.3,1
uct,2000,2,9,-24.400000000000002,50,13,545,3,2,0.3,1
uct,2000,2,10,-17.4,50,14,473,3,2,0.3,1
uct,2000,2,1,-22.300000000000008,50,28,905,3,3,0.3,1
uct,2000,2,2,-28.800000000000004,50,34,1024,3,3,0.3,1
uct,2000,2,3,-18.700000000000003,50,24,1029,3,3,0.3,1
uct,2000,2,4,-27.3,50,24,907,3,3,0.3,1
uct,2000,2,5,-20.9,50,24,920,3,3,0.3,1
uct,2000,2,6,-26.799999999999997,50,27,927,3,3,0.3,1
uct,2000,2,7,-20.500000000000004,50,21,747,3,3,0.3,1
uct,2000,2,8,-21.2,50,23,972,3,3,0.3,1
uct,2000,2,9,-26.000000000000004,50,29,942,3,3,0.3,1
uct,2000,2,10,-15.399999999999997,50,25,863,3,3,0.3,1
uct,2000,2,1,-40.20000000000002,50,12,456,4,1,0.3,1
uct,2000,2,2,-35.100000000000016,50,11,427,4,1,0.3,1
uct,2000,2,3,-40.20000000000001,50,12,457,4,1,0.3,1
uct,2000,2,4,-46.40000000000002,50,11,492,4,1,0.3,1
uct,2000,2,5,-36.100000000000016,50,12,435,4,1,0.3,1
uct,2000,2,6,-36.100000000000016,50,12,457,4,1,0.3,1
uct,2000,2,7,-30.300000000000015,50,11,449,4,1,0.3,1
uct,2000,2,8,-35.000000000000014,50,11,461,4,1,0.3,1
uct,2000,2,9,-36.000000000000014,50,13,465,4,1,0.3,1
uct,2000,2,10,-62.20000000000002,50,12,464,4,1,0.3,1
uct,2000,2,1,-42.40000000000002,50,19,812,4,2,0.3,1
uct,2000,2,2,-36.800000000000026,50,20,792,4,2,0.3,1
uct,2000,2,3,-29.90000000000002,50,18,733,4,2,0.3,1
uct,2000,2,4,-40.20000000000002,50,17,793,4,2,0.3,1
uct,2000,2,5,-35.600000000000016,50,18,845,4,2,0.3,1
uct,2000,2,6,-41.00000000000002,50,17,855,4,2,0.3,1
uct,2000,2,7,-35.60000000000002,50,18,795,4,2,0.3,1
uct,2000,2,8,-37.40000000000002,50,16,799,4,2,0.3,1
uct,2000,2,9,-31.20000000000001,50,17,771,4,2,0.3,1
uct,2000,2,10,-35.90000000000002,50,19,806,4,2,0.3,1
uct,2000,2,1,-29.30000000000001,50,47,2213,4,3,0.3,1
uct,2000,2,2,-49.00000000000001,50,46,2126,4,3,0.3,1
uct,2000,2,3,-32.30000000000002,50,46,1889,4,3,0.3,1
uct,2000,2,4,-40.60000000000003,50,48,2080,4,3,0.3,1
uct,2000,2,5,-28.600000000000012,50,46,2034,4,3,0.3,1
uct,2000,2,6,-27.300000000000004,50,48,2233,4,3,0.3,1
uct,2000,2,7,-27.30000000000001,50,48,2130,4,3,0.3,1
uct,2000,2,8,-38.70000000000002,50,48,1970,4,3,0.3,1
uct,2000,2,9,-33.80000000000002,50,46,2068,4,3,0.3,1
uct,2000,2,10,-41.20000000000002,50,50,2032,4,3,0.3,1
uct,2000,2,1,-50.30000000000002,50,379,17355,4,4,0.3,1
uct,2000,2,2,-27.5,50,414,17143,4,4,0.3,1
uct,2000,2,3,-35.300000000000026,50,392,18511,4,4,0.3,1
uct,2000,2,4,-34.70000000000001,50,377,20525,4,4,0.3,1
uct,2000,2,5,-46.500000000000014,50,601,23083,4,4,0.3,1
uct,2000,2,6,-38.20000000000002,50,468,20037,4,4,0.3,1
uct,2000,2,7,-39.39999999999999,50,439,21874,4,4,0.3,1
uct,2000,2,8,-43.200000000000024,50,450,20401,4,4,0.3,1
uct,2000,2,9,-40.000000000000036,50,491,19176,4,4,0.3,1
uct,2000,2,10,-34.600000000000016,50,437,21310,4,4,0.3,1
uct,2500,2,1,-7.0,50,11,305,1,1,0.3,1
uct,2500,2,2,-7.0,50,11,265,1,1,0.3,1
uct,2500,2,3,-7.0,50,10,307,1,1,0.3,1
uct,2500,2,4,-7.0,50,11,261,1,1,0.3,1
uct,2500,2,5,-7.0,50,10,266,1,1,0.3,1
uct,2500,2,6,-7.0,50,11,313,1,1,0.3,1
uct,2500,2,7,-7.0,50,12,265,1,1,0.3,1
uct,2500,2,8,-7.0,50,11,264,1,1,0.3,1
uct,2500,2,9,-7.0,50,11,261,1,1,0.3,1
uct,2500,2,10,-7.0,50,9,262,1,1,0.3,1
uct,2500,2,1,-23.600000000000005,50,11,444,2,1,0.3,1
uct,2500,2,2,-23.600000000000005,50,12,443,2,1,0.3,1
uct,2500,2,3,-23.600000000000005,50,12,445,2,1,0.3,1
uct,2500,2,4,-23.600000000000005,50,12,440,2,1,0.3,1
uct,2500,2,5,-23.600000000000005,50,11,443,2,1,0.3,1
uct,2500,2,6,-23.600000000000005,50,11,441,2,1,0.3,1
uct,2500,2,7,-23.600000000000005,50,12,447,2,1,0.3,1
uct,2500,2,8,-23.600000000000005,50,13,449,2,1,0.3,1
uct,2500,2,9,-23.600000000000005,50,12,453,2,1,0.3,1
uct,2500,2,10,-23.600000000000005,50,14,480,2,1,0.3,1
uct,2500,2,1,-15.0,50,14,502,2,2,0.3,1
uct,2500,2,2,-15.0,50,15,499,2,2,0.3,1
uct,2500,2,3,-15.0,50,14,502,2,2,0.3,1
uct,2500,2,4,-15.0,50,13,502,2,2,0.3,1
uct,2500,2,5,-15.0,50,15,502,2,2,0.3,1
uct,2500,2,6,-15.0,50,15,504,2,2,0.3,1
uct,2500,2,7,-15.0,50,13,500,2,2,0.3,1
uct,2500,2,8,-15.0,50,14,501,2,2,0.3,1
uct,2500,2,9,-15.0,50,14,506,2,2,0.3,1
uct,2500,2,10,-15.0,50,14,547,2,2,0.3,1
uct,2500,2,1,-43.100000000000016,50,13,493,3,1,0.3,1
uct,2500,2,2,-28.600000000000005,50,12,499,3,1,0.3,1
uct,2500,2,3,-46.20000000000002,50,13,559,3,1,0.3,1
uct,2500,2,4,-47.100000000000016,50,12,484,3,1,0.3,1
uct,2500,2,5,-25.70000000000001,50,12,456,3,1,0.3,1
uct,2500,2,6,-47.000000000000014,50,14,489,3,1,0.3,1
uct,2500,2,7,-32.90000000000001,50,11,484,3,1,0.3,1
uct,2500,2,8,-44.100000000000016,50,12,493,3,1,0.3,1
uct,2500,2,9,-22.700000000000006,50,13,444,3,1,0.3,1
uct,2500,2,10,-24.90000000000001,50,13,499,3,1,0.3,1
uct,2500,2,1,-16.4,50,17,655,3,2,0.3,1
uct,2500,2,2,-19.700000000000003,50,17,645,3,2,0.3,1
uct,2500,2,3,-19.3,50,18,647,3,2,0.3,1
uct,2500,2,4,-24.700000000000006,50,17,743,3,2,0.3,1
uct,2500,2,5,-16.4,50,19,642,3,2,0.3,1
uct,2500,2,6,-21.700000000000006,50,18,712,3,2,0.3,1
uct,2500,2,7,-29.1,50,16,722,3,2,0.3,1
uct,2500,2,8,-29.20000000000001,50,17,755,3,2,0.3,1
uct,2500,2,9,-25.100000000000005,50,22,752,3,2,0.3,1
uct,2500,2,10,-24.000000000000004,50,18,688,3,2,0.3,1
uct,2500,2,1,-24.500000000000007,50,25,1261,3,3,0.3,1
uct,2500,2,2,-22.4,50,27,1201,3,3,0.3,1
uct,2500,2,3,-22.600000000000005,50,29,1235,3,3,0.3,1
uct,2500,2,4,-23.200000000000006,50,29,1323,3,3,0.3,1
uct,2500,2,5,-22.099999999999998,50,33,1351,3,3,0.3,1
uct,2500,2,6,-27.400000000000013,50,33,1402,3,3,0.3,1
uct,2500,2,7,-26.60000000000001,50,31,1435,3,3,0.3,1
uct,2500,2,8,-23.8,50,36,1230,3,3,0.3,1
uct,2500,2,9,-22.900000000000002,50,28,1090,3,3,0.3,1
uct,2500,2,10,-26.500000000000004,50,26,1255,3,3,0.3,1
uct,2500,2,1,-57.50000000000002,50,14,609,4,1,0.3,1
uct,2500,2,2,-66.4,50,16,609,4,1,0.3,1
uct,2500,2,3,-66.30000000000001,50,14,619,4,1,0.3,1
uct,2500,2,4,-59.30000000000002,50,16,580,4,1,0.3,1
uct,2500,2,5,-49.20000000000002,50,13,572,4,1,0.3,1
uct,2500,2,6,-58.50000000000002,50,13,610,4,1,0.3,1
uct,2500,2,7,-51.50000000000002,50,14,610,4,1,0.3,1
uct,2500,2,8,-58.50000000000002,50,16,612,4,1,0.3,1
uct,2500,2,9,-49.20000000000002,50,14,560,4,1,0.3,1
uct,2500,2,10,-54.30000000000002,50,15,607,4,1,0.3,1
uct,2500,2,1,-23.400000000000006,50,23,737,4,2,0.3,1
uct,2500,2,2,-39.60000000000002,50,20,996,4,2,0.3,1
uct,2500,2,3,-32.800000000000026,50,19,995,4,2,0.3,1
uct,2500,2,4,-29.800000000000008,50,25,857,4,2,0.3,1
uct,2500,2,5,-39.100000000000016,50,23,930,4,2,0.3,1
uct,2500,2,6,-44.60000000000002,50,22,961,4,2,0.3,1
